ID,JOB,CARPETA,PROCESO,TIPO,,SECUENCIA,HORA,Satatus de Bandera,State,Status de ejcucion,storeday Compac
1010201,t001w,ecc_address,VENTAS/CI,FULL_LOAD,,Sec_01,23:18,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:25
1010202,adrc,ecc_address,VENTAS,FULL_LOAD,,Sec_01,23:18,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:54
1010203,BI_Ext_t005u,ecc_address,VENTAS,FULL_LOAD,,Sec_01,23:18,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:25
1030301,wrf_matgrp_md1,ecc_Item Def_ecc_comercial_structure,VENTAS,FULL_LOAD,,Sec_01,23:30,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:38
1030302,wrf_matgrp_md1t,ecc_Item Def_ecc_comercial_structure,VENTAS,FULL_LOAD,,Sec_01,23:30,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:38
1030303,wrf_matgrp_md2,ecc_Item Def_ecc_comercial_structure,VENTAS,FULL_LOAD,,Sec_01,23:30,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:38
1030304,wrf_matgrp_md2t,ecc_Item Def_ecc_comercial_structure,VENTAS,FULL_LOAD,,Sec_01,23:30,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:38
1030305,wrf_matgrp_md3,ecc_Item Def_ecc_comercial_structure,VENTAS/CI,FULL_LOAD,,Sec_01,23:30,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:38
1030306,wrf_matgrp_md3t,ecc_Item Def_ecc_comercial_structure,VENTAS/CI,FULL_LOAD,,Sec_01,23:30,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:39
1030307,wrf_matgrp_md4,ecc_Item Def_ecc_comercial_structure,VENTAS/CI,FULL_LOAD,,Sec_01,23:30,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:37
1030308,wrf_matgrp_md4t,ecc_Item Def_ecc_comercial_structure,VENTAS/CI,FULL_LOAD,,Sec_01,23:30,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:38
1030309,wrf_matgrp_md5,ecc_Item Def_ecc_comercial_structure,VENTAS/CI,FULL_LOAD,,Sec_01,23:30,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:39
1030310,wrf_matgrp_md5t,ecc_Item Def_ecc_comercial_structure,VENTAS/CI,FULL_LOAD,,Sec_01,23:30,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:39
1030311,wrf_matgrp_md6,ecc_Item Def_ecc_comercial_structure,VENTAS/CI,FULL_LOAD,,Sec_01,23:30,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:39
1030312,wrf_matgrp_md6t,ecc_Item Def_ecc_comercial_structure,VENTAS/CI,FULL_LOAD,,Sec_01,23:30,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:39
1030313,wrf_matgrp_md7,ecc_Item Def_ecc_comercial_structure,VENTAS,FULL_LOAD,,Sec_01,23:30,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:38
1030314,wrf_matgrp_md7t,ecc_Item Def_ecc_comercial_structure,VENTAS,FULL_LOAD,,Sec_01,23:30,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:38
1030201,t6wsat,ecc_Item Def_ecc_clasification_value,VENTAS,FULL_LOAD,,Sec_01,23:45,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:55
1030202,t141,ecc_Item Def_ecc_clasification_value,VENTAS,FULL_LOAD,,Sec_01,23:45,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:54
1030203,t141t,ecc_Item Def_ecc_clasification_value,VENTAS,FULL_LOAD,,Sec_01,23:45,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:54
1030204,t134t,ecc_Item Def_ecc_clasification_value,VENTAS,FULL_LOAD,,Sec_01,23:45,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:56
1030205,t179,ecc_Item Def_ecc_clasification_value,VENTAS,FULL_LOAD,,Sec_01,23:45,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:54
1030206,t179t,ecc_Item Def_ecc_clasification_value,VENTAS,FULL_LOAD,,Sec_01,23:45,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:55
1030207,t6wsp,ecc_Item Def_ecc_clasification_value,VENTAS,FULL_LOAD,,Sec_01,23:45,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:51
1030208,t6wst,ecc_Item Def_ecc_clasification_value,VENTAS/CI,FULL_LOAD,,Sec_01,23:45,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:55
1030901,t023,ecc_Item Def_ecc_clasification_value,VENTAS,FULL_LOAD,,Sec_01,23:45,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:53
1030902,t023t,ecc_Item Def_ecc_clasification_value,VENTAS,FULL_LOAD,,Sec_01,23:45,SUCCESS,COMPACTION,SUCCESS,11/09/2022 23:56
