ID,JOB,CARPETA,PROCESO,TIPO,,SECUENCIA,HORA,Satatus de Bandera,State,Status de ejcucion,storeday Compac
1050107,zacmtt_esq_pos,ecc_sales,VENTAS,FULL_LOAD,,Sec_02,3:00,SUCCESS,COMPACTION,SUCCESS,12/09/2022 03:06
1060701,zacmtt_tip_tasa,ecc_sales,VENTAS,FULL_LOAD,,Sec_02,3:00,SUCCESS,COMPACTION,SUCCESS,12/09/2022 03:07
1060702,zacmtt_niv_tasa,ecc_sales,VENTAS,FULL_LOAD,,Sec_02,3:00,SUCCESS,COMPACTION,SUCCESS,12/09/2022 03:06
1060703,zacmtt_val_tasa,ecc_sales,VENTAS,FULL_LOAD,,Sec_02,3:00,SUCCESS,COMPACTION,SUCCESS,12/09/2022 03:07
2010601,ekko,ecc_vendor_doc_header,COMPRAS,INCREMENTAL,,Sec_01,3:05,SUCCESS,COMPACTION,SUCCESS,12/09/2022 03:12
2020301,ekpo,ecc_vendor_doc_header,COMPRAS/CI,INCREMENTAL,,Sec_01,3:05,SUCCESS,COMPACTION,SUCCESS,12/09/2022 03:22
1060501,tiendas_comparables_direccion,Ftp,VENTAS,FULL_LOAD,,Ftp,3:45,SUCCESS,COMPACTION,SUCCESS,12/09/2022 03:53
2030502,BI_Ext_CDHDR,ecc_vendor,MONITOREO,,,,3:05,SUCCESS,COMPACTION,SUCCESS,12/09/2022 03:28
2030501,BI_Ext_EKET,ecc_vendor,MONITOREO,,Se aborta,,3:05,SUCCESS,COMPACTION,SUCCESS,12/09/2022 03:17
2030201,BI_Ext_EKBE,ecc_vendor,MONITOREO,,,,3:05,SUCCESS,COMPACTION,SUCCESS,12/09/2022 03:17
#N/D,BI_Ext_FRET,ecc_asortment,MONITOREO,,,,3:00,SUCCESS,ok,SUCCESS,
#N/D,BI_Ext_KONH,ecc_asortment,MONITOREO,,,,3:00,SUCCESS,ok,SUCCESS,
#N/D,BI_Ext_KONP,ecc_asortment,MONITOREO,,,,3:00,SUCCESS,ok,SUCCESS,
#N/D,BI_Ext_A073,ecc_asortment,MONITOREO,,30 min,,3:00,SUCCESS,ok,SUCCESS,
